date,metric_name,metric_description,metric_owner,metric_value,period_type,period_value
2024-11-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.016507993963185353,Calendar Period,2024_November
2024-12-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.024929828102360482,Calendar Period,2024_December
2025-01-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.02299265798094429,Calendar Period,2025_January
2025-02-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.026984468209883556,Calendar Period,2025_February
2025-03-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.023152257846006864,Calendar Period,2025_March
2025-04-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.021366172066709432,Calendar Period,2025_April
2025-05-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.011873495356561849,Calendar Period,2025_May
2025-06-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.01735431606118867,Calendar Period,2025_June
2022-01-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4446.0,Calendar Period,2022_January
2022-02-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2045.0,Calendar Period,2022_February
2022-03-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3797.0,Calendar Period,2022_March
2022-04-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2693.0,Calendar Period,2022_April
2022-05-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3085.0,Calendar Period,2022_May
2022-06-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3277.0,Calendar Period,2022_June
2022-07-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4436.0,Calendar Period,2022_July
2022-08-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1562.0,Calendar Period,2022_August
2022-09-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3485.0,Calendar Period,2022_September
2022-10-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2799.0,Calendar Period,2022_October
2022-11-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4354.0,Calendar Period,2022_November
2022-12-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3074.0,Calendar Period,2022_December
2023-01-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1225.0,Calendar Period,2023_January
2023-02-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4348.0,Calendar Period,2023_February
2023-03-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1797.0,Calendar Period,2023_March
2023-04-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4680.0,Calendar Period,2023_April
2023-05-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3331.0,Calendar Period,2023_May
2023-06-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3926.0,Calendar Period,2023_June
2023-07-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1959.0,Calendar Period,2023_July
2023-08-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2504.0,Calendar Period,2023_August
2023-09-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1452.0,Calendar Period,2023_September
2023-10-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4067.0,Calendar Period,2023_October
2023-11-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4900.0,Calendar Period,2023_November
2023-12-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1815.0,Calendar Period,2023_December
2024-01-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1658.0,Calendar Period,2024_January
2024-02-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4587.0,Calendar Period,2024_February
2024-03-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1546.0,Calendar Period,2024_March
2024-04-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2215.0,Calendar Period,2024_April
2024-05-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4120.0,Calendar Period,2024_May
2024-06-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4583.0,Calendar Period,2024_June
2024-07-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,1016.0,Calendar Period,2024_July
2024-08-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4243.0,Calendar Period,2024_August
2024-09-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2243.0,Calendar Period,2024_September
2024-10-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3205.0,Calendar Period,2024_October
2024-11-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3524.0,Calendar Period,2024_November
2024-12-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2069.0,Calendar Period,2024_December
2025-01-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4444.0,Calendar Period,2025_January
2025-02-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3565.0,Calendar Period,2025_February
2025-03-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,3146.0,Calendar Period,2025_March
2025-04-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,4963.0,Calendar Period,2025_April
2025-05-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2768.0,Calendar Period,2025_May
2025-06-01,Home Loan Application Volume,The total number of home loan applications received by ANZ in a given month.,Emma Johnston,2060.0,Calendar Period,2025_June
2022-01-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,379.0,Calendar Period,2022_January
2022-02-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1472.0,Calendar Period,2022_February
2022-03-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,596.0,Calendar Period,2022_March
2022-04-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,401.0,Calendar Period,2022_April
2022-05-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,280.0,Calendar Period,2022_May
2022-06-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,706.0,Calendar Period,2022_June
2022-07-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1222.0,Calendar Period,2022_July
2022-08-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,799.0,Calendar Period,2022_August
2022-09-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1092.0,Calendar Period,2022_September
2022-10-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1239.0,Calendar Period,2022_October
2022-11-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,290.0,Calendar Period,2022_November
2022-12-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,352.0,Calendar Period,2022_December
2023-01-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1080.0,Calendar Period,2023_January
2023-02-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1027.0,Calendar Period,2023_February
2023-03-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1284.0,Calendar Period,2023_March
2023-04-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1379.0,Calendar Period,2023_April
2023-05-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1446.0,Calendar Period,2023_May
2023-06-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,227.0,Calendar Period,2023_June
2023-07-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,117.0,Calendar Period,2023_July
2023-08-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1916.0,Calendar Period,2023_August
2023-09-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1858.0,Calendar Period,2023_September
2023-10-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,665.0,Calendar Period,2023_October
2023-11-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,669.0,Calendar Period,2023_November
2023-12-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1446.0,Calendar Period,2023_December
2024-01-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1995.0,Calendar Period,2024_January
2024-02-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,785.0,Calendar Period,2024_February
2024-03-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1915.0,Calendar Period,2024_March
2024-04-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,725.0,Calendar Period,2024_April
2024-05-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1411.0,Calendar Period,2024_May
2024-06-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,953.0,Calendar Period,2024_June
2024-07-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1786.0,Calendar Period,2024_July
2024-08-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1061.0,Calendar Period,2024_August
2024-09-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1762.0,Calendar Period,2024_September
2024-10-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,254.0,Calendar Period,2024_October
2024-11-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,589.0,Calendar Period,2024_November
2024-12-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1509.0,Calendar Period,2024_December
2025-01-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,884.0,Calendar Period,2025_January
2025-02-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1227.0,Calendar Period,2025_February
2025-03-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1516.0,Calendar Period,2025_March
2025-04-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1934.0,Calendar Period,2025_April
2025-05-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,345.0,Calendar Period,2025_May
2025-06-01,BTL Home Loan Campaign Volume,The number of below-the-line marketing campaigns targeting non-home loan customers for cross-sell.,Raj Patel,1299.0,Calendar Period,2025_June
2022-01-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,115510.0,Calendar Period,2022_January
2022-02-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,64748.0,Calendar Period,2022_February
2022-03-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,15801.0,Calendar Period,2022_March
2022-04-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,160262.0,Calendar Period,2022_April
2022-05-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,190761.0,Calendar Period,2022_May
2022-06-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,245362.0,Calendar Period,2022_June
2022-07-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,192065.0,Calendar Period,2022_July
2022-08-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,39592.0,Calendar Period,2022_August
2022-09-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,20647.0,Calendar Period,2022_September
2022-10-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,149788.0,Calendar Period,2022_October
2022-11-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,229963.0,Calendar Period,2022_November
2022-12-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,228617.0,Calendar Period,2022_December
2023-01-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,230984.0,Calendar Period,2023_January
2023-02-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,120627.0,Calendar Period,2023_February
2023-03-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,80316.0,Calendar Period,2023_March
2023-04-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,12368.0,Calendar Period,2023_April
2023-05-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,87575.0,Calendar Period,2023_May
2023-06-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,16655.0,Calendar Period,2023_June
2023-07-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,247549.0,Calendar Period,2023_July
2023-08-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,80031.0,Calendar Period,2023_August
2023-09-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,217501.0,Calendar Period,2023_September
2023-10-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,232155.0,Calendar Period,2023_October
2023-11-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,97922.0,Calendar Period,2023_November
2023-12-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,196838.0,Calendar Period,2023_December
2024-01-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,134046.0,Calendar Period,2024_January
2024-02-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,154475.0,Calendar Period,2024_February
2024-03-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,42097.0,Calendar Period,2024_March
2024-04-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,219729.0,Calendar Period,2024_April
2024-05-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,152038.0,Calendar Period,2024_May
2024-06-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,134862.0,Calendar Period,2024_June
2024-07-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,240229.0,Calendar Period,2024_July
2024-08-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,128834.0,Calendar Period,2024_August
2024-09-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,103848.0,Calendar Period,2024_September
2024-10-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,62921.0,Calendar Period,2024_October
2024-11-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,190798.0,Calendar Period,2024_November
2024-12-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,136141.0,Calendar Period,2024_December
2025-01-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,191372.0,Calendar Period,2025_January
2025-02-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,32677.0,Calendar Period,2025_February
2025-03-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,65609.0,Calendar Period,2025_March
2025-04-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,237897.0,Calendar Period,2025_April
2025-05-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,197733.0,Calendar Period,2025_May
2025-06-01,ATL Marketing Spend ($),"Monthly expenditure on above-the-line marketing efforts, including TV, radio, digital, and print advertising.",Natalie Chen,41024.0,Calendar Period,2025_June
2022-01-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,279.0,Calendar Period,2022_January
2022-02-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,269.0,Calendar Period,2022_February
2022-03-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,425.0,Calendar Period,2022_March
2022-04-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,370.0,Calendar Period,2022_April
2022-05-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,153.0,Calendar Period,2022_May
2022-06-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,200.0,Calendar Period,2022_June
2022-07-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,363.0,Calendar Period,2022_July
2022-08-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,152.0,Calendar Period,2022_August
2022-09-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,159.0,Calendar Period,2022_September
2022-10-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,207.0,Calendar Period,2022_October
2022-11-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,104.0,Calendar Period,2022_November
2022-12-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,202.0,Calendar Period,2022_December
2023-01-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,295.0,Calendar Period,2023_January
2023-02-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,361.0,Calendar Period,2023_February
2023-03-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,464.0,Calendar Period,2023_March
2023-04-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,471.0,Calendar Period,2023_April
2023-05-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,449.0,Calendar Period,2023_May
2023-06-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,146.0,Calendar Period,2023_June
2023-07-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,454.0,Calendar Period,2023_July
2023-08-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,410.0,Calendar Period,2023_August
2023-09-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,407.0,Calendar Period,2023_September
2023-10-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,243.0,Calendar Period,2023_October
2023-11-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,368.0,Calendar Period,2023_November
2023-12-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,469.0,Calendar Period,2023_December
2024-01-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,223.0,Calendar Period,2024_January
2024-02-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,205.0,Calendar Period,2024_February
2024-03-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,257.0,Calendar Period,2024_March
2024-04-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,246.0,Calendar Period,2024_April
2024-05-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,244.0,Calendar Period,2024_May
2024-06-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,219.0,Calendar Period,2024_June
2024-07-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,418.0,Calendar Period,2024_July
2024-08-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,374.0,Calendar Period,2024_August
2024-09-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,191.0,Calendar Period,2024_September
2024-10-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,157.0,Calendar Period,2024_October
2024-11-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,445.0,Calendar Period,2024_November
2024-12-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,328.0,Calendar Period,2024_December
2025-01-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,216.0,Calendar Period,2025_January
2025-02-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,417.0,Calendar Period,2025_February
2025-03-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,378.0,Calendar Period,2025_March
2025-04-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,226.0,Calendar Period,2025_April
2025-05-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,492.0,Calendar Period,2025_May
2025-06-01,Overall Complaints Volume,Total number of customer complaints received across all products and services in a month.,Ben Clarke,495.0,Calendar Period,2025_June
2022-01-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,90.0,Calendar Period,2022_January
2022-02-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,67.0,Calendar Period,2022_February
2022-03-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,104.0,Calendar Period,2022_March
2022-04-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,101.0,Calendar Period,2022_April
2022-05-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,55.0,Calendar Period,2022_May
2022-06-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,82.0,Calendar Period,2022_June
2022-07-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,144.0,Calendar Period,2022_July
2022-08-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,43.0,Calendar Period,2022_August
2022-09-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,77.0,Calendar Period,2022_September
2022-10-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,87.0,Calendar Period,2022_October
2022-11-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,38.0,Calendar Period,2022_November
2022-12-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,77.0,Calendar Period,2022_December
2023-01-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,96.0,Calendar Period,2023_January
2023-02-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,99.0,Calendar Period,2023_February
2023-03-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,142.0,Calendar Period,2023_March
2023-04-01,Home Loan Complaints Volume,Subset of total complaints specifically related to home loan products and services.,Mia Robinson,201.0,Calendar Period,2023_April
